"title","company_profile","description","requirements","benefits","fraudulent"
"Unlimited Income — Grow Your Team","IncomeTree MLM Network helps you build financial freedom through networking.","Build your team and earn unlimited income. Recruit friends and family and earn commission on their earnings too. Multi-level structure gives you passive income from 5 levels deep. Buy our business kit for Rs 4500 to join. Pyramid income guaranteed monthly. Don't miss this!","Anyone willing to build a team.","Multi-level commission. Unlimited earning.","1"
"Simple Captcha Solving Jobs","CaptchaEarn provides simple online captcha solving work from home.","Solve simple captchas from home and earn Rs 200-400 per hour. No experience needed. Pay Rs 500 registration fee to start. Earn daily by solving captchas. Just 1-2 hours per day needed. Apply on WhatsApp. Send Aadhar number to verify. Immediate start available.","Basic internet access. Anyone can apply.","Rs 200-400 per hour solving captchas.","1"
"Earn Unlimited — No Skills Needed","BigEarn India is the fastest growing home based income platform.","Earn unlimited income from home without any skills. Just pay Rs 500 to register and start earning Rs 2000 per day. Simple tasks: watching videos, clicking ads, and sharing posts. No investment required except our small registration fee. Apply on WhatsApp now — last 5 seats only!","No qualifications. No experience. Anyone can join.","Unlimited daily income guaranteed.","1"
"Chit Fund Agent — Commission Based","WealthCircle Chit Fund recruits agents to expand our member base.","Join as a chit fund agent and earn commission for every member you recruit. Build your network and earn passive income monthly. Recruit 10 members to earn a special prize. Buy our starter pack for Rs 2500 to get started. No fixed salary — commission only. Unlimited earning potential!","Anyone willing to recruit friends and family.","Commission per recruit. No fixed salary.","1"
"Online Investment — Earn Daily Returns","ProfitPal Investment Club offers daily returns on small investments.","Invest Rs 5000 and earn Rs 500 per day. Guaranteed 10% daily returns. Send money via UPI and start earning. Refer friends to earn extra. Grow your investment to Rs 1 lakh in just 30 days. Limited investor slots — apply immediately! Western Union and wire transfer accepted.","Must be willing to invest minimum Rs 5000.","10% daily return guaranteed. Invest now.","1"
"Work At Home — Urgent Hiring","QuickMoney India provides home based income opportunities.","Work from home and earn money without leaving the house. Earn Rs 20000-40000 per month. Just pay Rs 1000 registration fee. No experience required. Easy online tasks like form filling and ad posting. Limited seats — urgent hiring. Apply on WhatsApp immediately. Don't miss this chance!","No qualifications needed. Anyone above 18.","Rs 40000 per month guaranteed.","1"
"Earn Without Working — Passive Income","PassiveEarner India helps you earn money while you sleep.","Earn passive income without doing any work. Invest Rs 3000 and earn Rs 1000 per day automatically. Multi-level referral bonus. Get rich quickly from home. Recruit friends and earn commission on their investment too. Limited membership available. Apply now before it closes!","Willingness to invest Rs 3000.","Earn Rs 1000 per day passively.","1"
"Fake HR Job Posting — Registration Fee","HiringGuru India helps candidates find jobs easily.","Pay Rs 2000 registration fee and get guaranteed job placement in top companies within 7 days. We have tie-ups with 500+ companies. Send your resume and Aadhar card on WhatsApp to register. Get rich with our premium placement service. Guaranteed offer letter within a week!","Anyone looking for a job. No experience needed.","Guaranteed job placement in 7 days.","1"
"Scam Investment Scheme","DoubleYourMoney India doubles your money in 30 days guaranteed.","Invest any amount and receive 200% returns in 30 days. Send money via Western Union or wire transfer. Our expert team trades on your behalf. Minimum investment Rs 5000. Refer friends and earn extra commission. Guaranteed returns. Apply before limited slots are filled. Act now!","Willingness to invest money.","200% return in 30 days guaranteed.","1"
"Home Based Stitching Work","ThreadWorks India provides stitching kits for home based tailors.","Do stitching work at home and earn per unit stitched. Pay Rs 1500 security deposit and receive your first stitching kit. Earn Rs 12000-18000 per month from home. Apply on WhatsApp and share your full address. Immediate kit delivery. Urgent requirement!","Basic stitching knowledge. Anyone can apply.","Rs 12000-18000 per month stitching from home.","1"
"Earn Rs 1000 Per Day — Home Based","EasyEarn Hub provides multiple work-from-home options with daily payment.","Earn Rs 1000 per day from the comfort of your home. Pay just Rs 500 to join and receive your work kit immediately. No experience needed. Simple tasks like form filling, ad posting, and copy paste. Apply on WhatsApp with your photo. Limited openings. Act now!","Anyone with a basic smartphone.","Rs 1000 per day. Daily guaranteed payout.","1"
"Referral Marketing Executive","ReferEarn Network rewards you for referring friends and family to our platform.","Earn unlimited income by referring people to our referral marketing platform. Earn Rs 500 per referral. Buy our premium membership for Rs 2000 to unlock high commission referrals. Grow your team and earn from their referrals too. Multi-level referral bonus structure. Apply now!","Anyone with a social network of friends.","Rs 500 per referral. Unlimited referrals.","1"
"Guaranteed Job — Pay Fee","PlacementGuru charges a small fee for guaranteed job placements in top MNCs.","Get placed in top MNCs like TCS, Infosys, and Wipro within 15 days. Pay just Rs 3000 placement fee. Send resume on WhatsApp and our consultant will call you. Aadhar and PAN card copy required. Your placement is our guarantee. Limited slots for this month!","Any graduate. Freshers welcome.","Guaranteed MNC placement in 15 days.","1"
"Easy Money — No Work Required","AutoIncome India generates income for you automatically once you pay.","Our AI system generates income for you automatically. Pay Rs 2000 and our system will earn Rs 500 per day on your behalf without any effort. Just set up your account and sit back. Refer friends to earn more. Withdraw daily. Act fast — limited memberships available!","Willingness to pay Rs 2000.","Rs 500 per day automated income.","1"
"Online Professor — Earn Rs 1 Lakh Monthly","OnlineTeach India hires expert professors who earn Rs 1 lakh per month.","Teach online and earn Rs 1 lakh per month without leaving home. Pay Rs 5000 joining fee to become a registered professor on our platform. Teach just 2 hours per day. No experience needed — we train you. Apply on WhatsApp with your qualification documents. Limited faculty seats!","Any graduate. Teaching experience preferred but not required.","Rs 1 lakh monthly guaranteed.","1"
"Franchise Scam — Earn From Business Kit","FranchiseIndia provides business kits for home based franchises.","Start your own franchise from home by purchasing our business kit for Rs 8000. Earn Rs 1 lakh monthly by selling our products and recruiting new franchise owners. Multi-level income from your recruits. Guaranteed returns on your kit investment. Buy kit and start today!","Anyone willing to invest Rs 8000 in a business kit.","Rs 1 lakh monthly from home franchise.","1"
"Earn From Your Phone — No Work","PhoneEarn App pays you Rs 200 for installing apps on your smartphone.","Earn money just by installing apps on your phone. Pay Rs 300 to join our premium app testing programme. Earn Rs 200 per app installed. Download 10 apps and earn Rs 2000 per day. Refer friends to earn extra. WhatsApp application only. Send Aadhar number to join.","Smartphone required. Anyone can apply.","Rs 200 per app installed. Easy daily income.","1"
"Guaranteed Placement — Pay Upfront","CareerPath India charges candidates a placement fee for guaranteed job offers.","Guarantee yourself a job in top companies by paying our placement fee of Rs 4000. We will send you offer letters from TCS, HCL, and Wipro within 10 days. Send resume and PAN card on WhatsApp to begin. No more job hunting — pay and get placed! Offer valid till this Sunday.","Any fresher or experienced candidate.","Guaranteed offer letter in 10 days. Pay Rs 4000.","1"
"Send Money — Earn Commission","MoneyFlip India helps you grow money through our peer-to-peer money flip scheme.","Send Rs 5000 to our account and receive Rs 10000 within 48 hours. 100% guaranteed returns. Our team flips money using smart investment strategies. Refer friends and earn Rs 1000 per referral. Send money via UPI or western union. Acts now — slots filling fast!","Anyone willing to send money.","Rs 10000 return on Rs 5000 sent. Guaranteed.","1"
"Easy Income Online — Pay To Join","EarnersPro provides premium online earning opportunities to paid members.","Access our exclusive network of online earning opportunities by paying Rs 1500 membership fee. Earn Rs 800-1500 per day through our premium tasks. Tasks include data entry, ad clicking, and form filling. Access our WhatsApp group after payment. Limited premium memberships!","Any adult with a smartphone.","Rs 800-1500 per day. Premium tasks access.","1"
"Ponzi Scheme — High Returns","InvestWise Club offers fixed daily returns on your investment.","Invest Rs 10000 and earn Rs 800 per day for 30 days. Total returns of Rs 24000 on a Rs 10000 investment. Wire transfer or UPI payment accepted. Recruit friends to earn extra commission. Limited investor slots — invest now! Withdrawal guaranteed within 24 hours.","Willing to invest minimum Rs 10000.","Rs 800 per day return. Invest Rs 10000.","1"
"Earn Without Investment — Instant Cash","CashEarn India provides instant cash earning opportunities online.","Earn Rs 2000 per day without any investment. Just pay Rs 400 activation fee and start earning immediately. Simple tasks: copy paste, form filling, survey filling. No experience required. Apply on WhatsApp. Send Aadhar card number to activate account. Hurry — only 5 seats left!","Anyone above 18 with basic smartphone.","Instant daily cash. Rs 2000 per day.","1"
"Instagram Promoter — Commission Based","SocialGrowth India pays you to promote brands on Instagram.","Promote brands on Instagram and earn commission. Pay Rs 1000 joining fee to access our brand list. Earn Rs 2000-5000 per month by posting promotional content. Recruit friends to the network and earn extra. Refer and earn bonus for every new member. Apply on WhatsApp now!","Must have an Instagram account with some followers.","Commission per post. Refer and earn bonus.","1"
"Home Based Packing — Daily Payout","PackWork India delivers packaging material to home workers.","Pack goods at home and earn Rs 25 per unit. Receive packing material at your doorstep after paying Rs 800 security deposit. Return packed items weekly and collect payment. Earn Rs 8000-12000 per month. Apply on WhatsApp with address. Urgent requirement!","Anyone who can do simple manual work.","Rs 25 per unit packed. Weekly payment.","1"
"Digital Marketing Intern","Pixel Dynamics is a 5-year-old digital marketing agency with 60 employees.","We are hiring a Digital Marketing Intern to assist our content and SEO team. You will help create social media posts, run email campaigns, and analyse website traffic using Google Analytics. This is a 3-month paid internship with potential for PPO.","Pursuing BBA, BCom, or any relevant degree. Knowledge of social media platforms. Basic understanding of SEO and email marketing.","Stipend Rs 10000 per month, flexible hours, certificate of completion.","0"
"Software Engineer — Backend","Codewave Technologies Pvt Ltd is a Pune-based SaaS company (CIN: U72200MH2017PTC295432) with 120 employees.","We are looking for a Backend Software Engineer to work on our Node.js microservices. Responsibilities include designing APIs, writing unit tests, and collaborating with the frontend team. Structured interview process: coding test, technical interview, and HR round.","2+ years experience with Node.js, Express, MongoDB. Understanding of REST API design. Experience with Git.","Salary 8-12 LPA, PF and ESIC benefits, health insurance, 5-day work week.","0"
"Data Analyst Intern","DataSense Analytics is a Bangalore-based startup helping businesses make data-driven decisions.","Join our data team as an intern. You will work with Python and SQL to analyse customer datasets, build dashboards in Tableau, and support the BI team. Formal offer letter and internship certificate provided. Background verification conducted for all interns.","Knowledge of Python, SQL, and Excel. Familiarity with data visualisation tools. Currently pursuing B.Tech or M.Sc in Statistics or CS.","Stipend Rs 12000/month, certificate, LOR, PPO opportunity.","0"
"HR Executive","BuildRight Constructions Pvt Ltd is a Delhi-based construction firm with 200+ employees.","We are hiring an HR Executive to manage recruitment, onboarding, and employee relations. Responsibilities include conducting interviews, maintaining HR records, and coordinating with department heads. Background check mandatory.","MBA in HR or relevant experience. 1-2 years of HR experience preferred. Good communication and MS Office skills.","CTC 3-4 LPA, PF and ESIC, paid leave, performance bonus.","0"
"Frontend Developer","WebCraft Solutions has been building web products for 7 years. Listed on Glassdoor with 4.1 rating.","We are looking for a Frontend Developer with strong React.js skills to build customer-facing interfaces. You will collaborate with the design team on UI/UX improvements and write clean, testable code. Formal offer letter issued after technical rounds.","3+ years experience with React, JavaScript, HTML5, CSS3. Familiarity with Redux and REST APIs. Experience with Git and Agile methodology.","Salary 10-15 LPA, remote-friendly, PF benefits, annual bonus.","0"
"Marketing Executive","FreshBrand Marketing Agency works with 50+ D2C brands across India.","We are hiring a Marketing Executive to manage client campaigns, coordinate with creative teams, and analyse performance metrics. Probation period of 3 months with performance review. Offer letter provided on joining.","1-2 years marketing experience. Knowledge of Meta Ads and Google Ads. Strong communication skills.","CTC 3.5-5 LPA, health insurance, quarterly incentives.","0"
"Accounts Assistant","GreenLeaf Finance Pvt Ltd is a registered NBFC with SEBI. CIN: U65910MH2015PTC269811.","We are hiring an Accounts Assistant to handle bookkeeping, GST filing, and financial reporting. 5-day work week. Background verification and document verification before joining. Interview process includes aptitude test and two rounds of interviews.","B.Com or M.Com required. Knowledge of Tally and GST. 0-2 years experience.","CTC 2.5-3.5 LPA, PF, ESIC, paid leave.","0"
"Content Writer — Internship","StoryLab Content is a content marketing agency based in Mumbai with 30+ clients.","We are looking for a Content Writing Intern to create blog posts, product descriptions, and social media content. We have a structured 2-month internship programme with weekly mentorship sessions. Formal offer letter provided.","Strong English writing skills. Basic understanding of SEO. Pursuing graduation or recently graduated.","Stipend Rs 8000-10000/month, flexible hours, certificate, LOR.","0"
"Sales Development Representative","SaaSHive India is an enterprise SaaS company with 300+ employees. Find us on LinkedIn and Glassdoor.","We are hiring an SDR to identify potential clients, conduct outreach, and set up demos for the sales team. Clear KPIs and training programme provided. Background check for all employees.","0-2 years B2B sales experience. Excellent communication. Comfort with CRM tools like Salesforce or HubSpot.","CTC 4-6 LPA, PF, health insurance, uncapped incentives.","0"
"UI/UX Designer","CreativeStudio is a product design agency based in Hyderabad. Internshala verified profile.","Join our design team to work on mobile and web interfaces for our clients. You will create wireframes, prototypes, and conduct user research. Offer letter and NDA signed on joining. Probation period of 2 months.","Proficiency in Figma or Adobe XD. Portfolio required. 1-2 years of design experience preferred.","CTC 5-8 LPA, flexible work, annual leave, learning budget.","0"
"Python Developer","TechNova Systems Pvt Ltd is a software product company based in Bangalore. CIN: U72200KA2016PTC087234.","We are looking for a Python Developer with 2-3 years of experience to work on our data pipeline and automation projects. You will write clean, tested code and participate in code reviews. Formal offer letter after 3 rounds of interviews.","2-3 years Python experience. Knowledge of Flask or Django. Familiarity with PostgreSQL and REST APIs.","CTC 8-12 LPA, PF and ESIC, health insurance, 5-day work week.","0"
"Operations Executive","LogiPrime India Pvt Ltd operates 50+ warehouses across India. Find us on LinkedIn.","We are hiring an Operations Executive to oversee daily warehouse operations, coordinate with vendors, and ensure timely order fulfilment. Background verification required. 6-day work week.","Graduate in any discipline. 1-2 years ops experience preferred. Good MS Excel skills.","CTC 3-4.5 LPA, PF, ESIC, annual bonus.","0"
"Business Analyst Intern","StratEdge Consulting works with Fortune 500 clients in India and Southeast Asia.","We are offering a 6-month Business Analyst internship. You will work on client projects involving market research, process mapping, and data analysis. Structured weekly reviews and mentorship. Internship certificate and LOR provided.","MBA students or graduates preferred. Proficiency in Excel and PowerPoint. Analytical mindset.","Stipend Rs 15000-20000/month, PPO opportunity, travel reimbursement.","0"
"Graphic Designer","BrandPixel Creative Studio is a Pune-based design agency. Listed on Naukri.com and Internshala.","Join our creative team to design marketing materials, social media graphics, and brand identities. We have a structured interview process — portfolio review, design test, and HR round.","Proficiency in Adobe Illustrator, Photoshop, and Canva. 1+ years design experience. Strong portfolio.","CTC 4-6 LPA, flexible hours, creative work environment.","0"
"Quality Analyst — Software Testing","QualityFirst Tech Pvt Ltd provides QA services to 30+ global clients.","We are hiring a QA Analyst to write test cases, perform manual and automated testing, and report bugs. Background verification and document check before joining. Offer letter issued within 3 days of selection.","1-2 years QA experience. Knowledge of Selenium or Cypress preferred. ISTQB certification is a plus.","CTC 5-7 LPA, PF, health insurance, learning allowance.","0"
"Social Media Manager","GrowthHive Digital Agency manages social media for 100+ brands.","We are looking for a Social Media Manager to plan, create, and publish content for our clients across Instagram, LinkedIn, and Twitter. Monthly performance KPIs provided. Probation period of 2 months.","2+ years social media experience. Strong content creation skills. Knowledge of analytics tools.","CTC 4-6 LPA, work from home option, performance bonus.","0"
"BPO Customer Support Associate","CallPro India has 5 call centres across Mumbai, Pune, and Hyderabad.","We are hiring Customer Support Associates for our inbound process. You will handle customer queries, resolve complaints, and update CRM records. 5-day work week with fixed shifts. Background verification required.","Graduate or 12th pass with good communication. Freshers welcome. Basic computer skills.","CTC 2.5-3 LPA, PF, ESIC, night shift allowance.","0"
"Java Developer","SoftEdge Technologies is a 10-year-old IT services company listed on Glassdoor with 200+ employees.","We are hiring a Java Developer with Spring Boot experience. Responsibilities include building REST APIs, writing unit tests, and working in Agile sprints. Two technical interview rounds and one HR round.","3+ years Java experience. Spring Boot, Hibernate, SQL knowledge required. Git experience mandatory.","CTC 10-15 LPA, PF, health insurance, flexible hours.","0"
"Product Manager Intern","ProductLab is an early-stage SaaS startup with experienced founders from IIT and IIM.","We are hiring a Product Manager Intern to assist in defining product roadmaps, writing PRDs, and working closely with engineering and design teams. Weekly 1:1 with the founding team.","Students from top engineering or management colleges. Prior PM internship experience preferred. Strong analytical and communication skills.","Stipend Rs 20000/month, PPO opportunity, equity options.","0"
"Finance Analyst","CFO Services India Pvt Ltd provides outsourced CFO and accounting services to startups.","Join our finance team to work on financial modelling, MIS reporting, and budgeting for our clients. Formal offer letter on day 1. PF contributions from day 1. Background check mandatory.","CA inter, MBA Finance, or B.Com with 1+ years experience. Proficiency in Excel and Tally. Knowledge of GST and TDS preferred.","CTC 4-6 LPA, PF, ESIC, quarterly performance bonus.","0"
"Network Engineer","ConnectCore Technologies provides managed IT services to enterprises.","We are hiring a Network Engineer to manage client network infrastructure, configure routers and switches, and troubleshoot connectivity issues. Formal offer letter with ESIC and PF from day 1.","CCNA certification preferred. 2+ years network administration experience. Knowledge of TCP/IP, VLANs, and firewalls.","CTC 5-8 LPA, PF, ESIC, on-call allowance.","0"
"DevOps Engineer","CloudStack India Pvt Ltd provides cloud infrastructure solutions. CIN: U72200MH2019PTC321456.","We are hiring a DevOps Engineer to manage CI/CD pipelines, containerise services using Docker and Kubernetes, and monitor cloud infrastructure. Three interview rounds with technical and system design questions.","2+ years DevOps experience. AWS or GCP, Docker, Kubernetes, Jenkins or GitHub Actions.","CTC 12-18 LPA, PF, health insurance, remote work.","0"
"Android Developer","AppMill Technologies builds apps for top Indian startups. Glassdoor rating 4.2.","Join our mobile team to build Android applications using Kotlin. You will work in Agile sprints and own features end to end. Background verification required. Offer letter within 2 working days.","2+ years Android development using Kotlin. REST API integration. Knowledge of MVVM architecture and coroutines.","CTC 8-12 LPA, PF, flexible hours, ESOPs.","0"
"Research Analyst Intern","MarketSense Research provides market intelligence to FMCG and pharma companies.","We are offering a 3-month research internship. You will conduct primary and secondary research, build databases, and assist in writing market reports. Formal stipend agreement on day 1.","Students from MBA, Economics, or Statistics backgrounds. Strong Excel and research skills. Good English writing ability.","Stipend Rs 10000-12000/month, certificate, LOR.","0"
"Cloud Solutions Architect","NetVision Technologies is a 15-year-old IT firm with 500+ employees. Listed on Monster and Naukri.","We are hiring a Cloud Architect to design and implement cloud solutions for enterprise clients. Responsibilities include creating architecture diagrams, estimating costs, and guiding development teams. Structured 3-round interview process.","5+ years cloud architecture experience. AWS or Azure certification required. Strong communication skills.","CTC 20-30 LPA, PF, health insurance, annual bonus.","0"
"Business Development Executive","GrowthForce India works with 100+ SMEs on sales strategy and business growth.","We are hiring a BDE to identify new business opportunities, reach out to prospects, and convert leads to clients. KPIs clearly defined. Monthly performance incentives. Probation period of 2 months with clear promotion path.","1-2 years B2B sales experience. Strong communication. CRM knowledge preferred.","CTC 3.5-5 LPA, uncapped incentives, health insurance.","0"
"Customer Success Manager","HelpDesk Pro is a B2B SaaS platform used by 500+ companies. CIN: U72200TN2018PTC122345.","We are hiring a Customer Success Manager to onboard clients, drive product adoption, and reduce churn. Structured 3-month onboarding programme for new employees. Background verification mandatory.","2+ years in customer success or account management. Strong communication. SaaS product experience preferred.","CTC 6-9 LPA, PF, health insurance, performance bonus.","0"
